Species,TreeName,Year,Date,CollectorName,Lat,Long
A_digitata,Maoulida1,2011,NA,Jean-Michel,-11.39703,43.2802833333333
A_digitata,Maoulida10,2011,NA,Jean-Michel,-11.3834833333333,43.3047333333333
A_digitata,Maoulida100,2011,NA,Jean-Michel,-12.39151,43.7050666666667
A_digitata,Maoulida101,2011,NA,Jean-Michel,-12.39153,43.7051
A_digitata,Maoulida102,2011,NA,Jean-Michel,-12.39153,43.7051
A_digitata,Maoulida103,2011,NA,Jean-Michel,-12.39153,43.7050833333333
A_digitata,Maoulida104,2011,NA,Jean-Michel,-12.39153,43.7051
A_digitata,Maoulida105,2011,NA,Jean-Michel,-12.39156,43.7050833333333
A_digitata,Maoulida106,2011,NA,Jean-Michel,-12.39156,43.7051
A_digitata,Maoulida107,2011,NA,Jean-Michel,-12.39156,43.7051
A_digitata,Maoulida108,2011,NA,Jean-Michel,-12.39165,43.70495
A_digitata,Maoulida109,2011,NA,Jean-Michel,-12.39165,43.70495
A_digitata,Maoulida11,2011,NA,Jean-Michel,-11.38415,43.30565
A_digitata,Maoulida110,2011,NA,Jean-Michel,-12.39165,43.70515
A_digitata,Maoulida111,2011,NA,Jean-Michel,-12.3916,43.7051666666667
A_digitata,Maoulida112,2011,NA,Jean-Michel,-12.3916166666667,43.7052166666667
A_digitata,Maoulida113,2011,NA,Jean-Michel,-12.39195,43.7055333333333
A_digitata,Maoulida114,2011,NA,Jean-Michel,-12.3922,43.7058666666667
A_digitata,Maoulida115,2011,NA,Jean-Michel,-12.3920833333333,43.7059833333333
A_digitata,Maoulida116,2011,NA,Jean-Michel,-12.39315,43.7087166666667
A_digitata,Maoulida117,2011,NA,Jean-Michel,-12.3601333333333,43.7547666666667
A_digitata,Maoulida118,2011,NA,Jean-Michel,-12.3143,43.78555
A_digitata,Maoulida119,2011,NA,Jean-Michel,-12.2873666666667,43.74315
A_digitata,Maoulida12,2011,NA,Jean-Michel,-11.3842833333333,43.3067166666667
A_digitata,Maoulida120,2011,NA,Jean-Michel,-12.2873666666667,43.74315
A_digitata,Maoulida121,2011,NA,Jean-Michel,-12.2586333333333,43.6767166666667
A_digitata,Maoulida122,2011,NA,Jean-Michel,-12.2554666666667,43.6472166666667
A_digitata,Maoulida123,2011,NA,Jean-Michel,-12.2583666666667,43.6411666666667
A_digitata,Maoulida124,2011,NA,Jean-Michel,-12.2581,43.6405166666667
A_digitata,Maoulida125,2011,NA,Jean-Michel,-12.2579666666667,43.6406333333333
A_digitata,Maoulida126,2011,NA,Jean-Michel,-12.2613166666667,43.6869666666667
A_digitata,Maoulida127,2011,NA,Jean-Michel,-12.2613166666667,43.6869333333333
A_digitata,Maoulida128,2011,NA,Jean-Michel,-12.2610333333333,43.6867833333333
A_digitata,Maoulida129,2011,NA,Jean-Michel,-12.2610333333333,43.6869833333333
A_digitata,Maoulida13,2011,NA,Jean-Michel,-11.3833,43.3065833333333
A_digitata,Maoulida130,2011,NA,Jean-Michel,-12.2609,43.6871333333333
A_digitata,Maoulida131,2011,NA,Jean-Michel,-12.2611333333333,43.6878166666667
A_digitata,Maoulida132,2011,NA,Jean-Michel,-12.26115,43.6878166666667
A_digitata,Maoulida133,2011,NA,Jean-Michel,-12.2611,43.6878666666667
A_digitata,Maoulida134,2011,NA,Jean-Michel,-12.26123,43.68805
A_digitata,Maoulida135,2011,NA,Jean-Michel,-12.26123,43.6884166666667
A_digitata,Maoulida136,2011,NA,Jean-Michel,-12.2613,43.6884333333333
A_digitata,Maoulida137,2011,NA,Jean-Michel,-12.2613333333333,43.68845
A_digitata,Maoulida138,2011,NA,Jean-Michel,-12.26135,43.6884
A_digitata,Maoulida139,2011,NA,Jean-Michel,-12.2613666666667,43.6883666666667
A_digitata,Maoulida14,2011,NA,Jean-Michel,-11.3824,43.3072833333333
A_digitata,Maoulida140,2011,NA,Jean-Michel,-12.2613833333333,43.6884666666667
A_digitata,Maoulida141,2011,NA,Jean-Michel,-12.2612833333333,43.68885
A_digitata,Maoulida142,2011,NA,Jean-Michel,-12.2612666666667,43.6890166666667
A_digitata,Maoulida143,2011,NA,Jean-Michel,-12.2628333333333,43.6979833333333
A_digitata,Maoulida144,2011,NA,Jean-Michel,-12.2679333333333,43.7032666666667
A_digitata,Maoulida145,2011,NA,Jean-Michel,-12.2691333333333,43.7050333333333
A_digitata,Maoulida146,2011,NA,Jean-Michel,-12.2689666666667,43.70545
A_digitata,Maoulida147,2011,NA,Jean-Michel,-12.2688833333333,43.7063833333333
A_digitata,Maoulida148,2011,NA,Jean-Michel,-12.2691333333333,43.7076
A_digitata,Maoulida149,2011,NA,Jean-Michel,-12.2699833333333,43.7106666666667
A_digitata,Maoulida15,2011,NA,Jean-Michel,-11.3828666666667,43.3078333333333
A_digitata,Maoulida150,2011,NA,Jean-Michel,-12.2701833333333,43.711
A_digitata,Maoulida151,2011,NA,Jean-Michel,-12.2710833333333,43.71135
A_digitata,Maoulida152,2011,NA,Jean-Michel,-12.2707666666667,43.7118
A_digitata,Maoulida153,2011,NA,Jean-Michel,-12.27223,43.7148166666667
A_digitata,Maoulida154,2011,NA,Jean-Michel,-12.2737166666667,43.7207
A_digitata,Maoulida155,2011,NA,Jean-Michel,-12.273,43.7222833333333
A_digitata,Maoulida156,2011,NA,Jean-Michel,-12.2730666666667,43.7236166666667
A_digitata,Maoulida157,2011,NA,Jean-Michel,-12.2730833333333,43.7236166666667
A_digitata,Maoulida158,2011,NA,Jean-Michel,-12.2730333333333,43.72395
A_digitata,Maoulida159,2011,NA,Jean-Michel,-12.27315,43.7240166666667
A_digitata,Maoulida16,2011,NA,Jean-Michel,-11.3849,43.3074
A_digitata,Maoulida160,2011,NA,Jean-Michel,-12.2733,43.7241666666667
A_digitata,Maoulida161,2011,NA,Jean-Michel,-12.2731833333333,43.72435
A_digitata,Maoulida162,2011,NA,Jean-Michel,-12.2731833333333,43.7244
A_digitata,Maoulida163,2011,NA,Jean-Michel,-12.2732833333333,43.72485
A_digitata,Maoulida164,2011,NA,Jean-Michel,-12.27335,43.7250666666667
A_digitata,Maoulida165,2011,NA,Jean-Michel,-12.31495,43.7849666666667
A_digitata,Maoulida166,2011,NA,Jean-Michel,-12.3149333333333,43.7850333333333
A_digitata,Maoulida167,2011,NA,Jean-Michel,-12.31475,43.78505
A_digitata,Maoulida168,2011,NA,Jean-Michel,-12.3133666666667,43.7848666666667
A_digitata,Maoulida169,2011,NA,Jean-Michel,-12.3133166666667,43.7849666666667
A_digitata,Maoulida17,2011,NA,Jean-Michel,-11.38455,43.3076833333333
A_digitata,Maoulida170,2011,NA,Jean-Michel,-12.31325,43.7851
A_digitata,Maoulida171,2011,NA,Jean-Michel,-12.3128666666667,43.7851333333333
A_digitata,Maoulida172,2011,NA,Jean-Michel,-12.3122666666667,43.7842
A_digitata,Maoulida173,2011,NA,Jean-Michel,-12.3123,43.7841333333333
A_digitata,Maoulida174,2011,NA,Jean-Michel,-12.3120333333333,43.7843666666667
A_digitata,Maoulida175,2011,NA,Jean-Michel,-12.31105,43.7850666666667
A_digitata,Maoulida176,2011,NA,Jean-Michel,-12.30595,43.77955
A_digitata,Maoulida177,2011,NA,Jean-Michel,-12.3067666666667,43.77835
A_digitata,Maoulida178,2011,NA,Jean-Michel,-12.3061166666667,43.7767833333333
A_digitata,Maoulida179,2011,NA,Jean-Michel,-12.30645,43.7762333333333
A_digitata,Maoulida18,2011,NA,Jean-Michel,-11.3816333333333,43.3141
A_digitata,Maoulida180,2011,NA,Jean-Michel,-12.2998666666667,43.7650166666667
A_digitata,Maoulida181,2011,NA,Jean-Michel,-12.2986833333333,43.7640833333333
A_digitata,Maoulida182,2011,NA,Jean-Michel,-12.29835,43.7639666666667
A_digitata,Maoulida183,2011,NA,Jean-Michel,-12.29825,43.7638666666667
A_digitata,Maoulida184,2011,NA,Jean-Michel,-12.2972,43.7625
A_digitata,Maoulida185,2011,NA,Jean-Michel,-12.2839666666667,43.74475
A_digitata,Maoulida186,2011,NA,Jean-Michel,-12.2849166666667,43.7453666666667
A_digitata,Maoulida187,2011,NA,Jean-Michel,-12.2855166666667,43.74555
A_digitata,Maoulida188,2011,NA,Jean-Michel,-12.28445,43.7458333333333
A_digitata,Maoulida189,2011,NA,Jean-Michel,-12.2848166666667,43.7466666666667
A_digitata,Maoulida19,2011,NA,Jean-Michel,-11.37995,43.31515
A_digitata,Maoulida190,2011,NA,Jean-Michel,-12.2850166666667,43.7468333333333
A_digitata,Maoulida191,2011,NA,Jean-Michel,-12.2868166666667,43.74985
A_digitata,Maoulida192,2011,NA,Jean-Michel,-12.2875333333333,43.7504166666667
A_digitata,Maoulida193,2011,NA,Jean-Michel,-12.2883,43.7509
A_digitata,Maoulida194,2011,NA,Jean-Michel,-12.2921833333333,43.7540666666667
A_digitata,Maoulida195,2011,NA,Jean-Michel,-12.29315,43.75445
A_digitata,Maoulida196,2011,NA,Jean-Michel,-12.2924666666667,43.7542833333333
A_digitata,Maoulida197,2011,NA,Jean-Michel,-12.2921833333333,43.7511833333333
A_digitata,Maoulida198,2011,NA,Jean-Michel,-12.2913,43.7484
A_digitata,Maoulida199,2011,NA,Jean-Michel,-12.29346,43.7492166666667
A_digitata,Maoulida2,2011,NA,Jean-Michel,-11.3823666666667,43.3253
A_digitata,Maoulida20,2011,NA,Jean-Michel,-11.3799166666667,43.31515
A_digitata,Maoulida200,2011,NA,Jean-Michel,-11.3933833333333,43.2983833333333
A_digitata,Maoulida201,2011,NA,Jean-Michel,-11.3947666666667,43.29845
A_digitata,Maoulida202,2011,NA,Jean-Michel,-11.3946833333333,43.299
A_digitata,Maoulida203,2011,NA,Jean-Michel,-11.39485,43.2991333333333
A_digitata,Maoulida204,2011,NA,Jean-Michel,-11.3969333333333,43.3001166666667
A_digitata,Maoulida205,2011,NA,Jean-Michel,-11.39705,43.3021333333333
A_digitata,Maoulida206,2011,NA,Jean-Michel,-11.3980166666667,43.2996166666667
A_digitata,Maoulida207,2011,NA,Jean-Michel,-11.4021666666667,43.3024
A_digitata,Maoulida208,2011,NA,Jean-Michel,-11.4026166666667,43.30205
A_digitata,Maoulida209,2011,NA,Jean-Michel,-11.4023,43.3019166666667
A_digitata,Maoulida21,2011,NA,Jean-Michel,-11.37965,43.3150833333333
A_digitata,Maoulida210,2011,NA,Jean-Michel,-11.4018166666667,43.3045666666667
A_digitata,Maoulida211,2011,NA,Jean-Michel,-11.40643,43.31015
A_digitata,Maoulida212,2011,NA,Jean-Michel,-11.4060166666667,43.3113166666667
A_digitata,Maoulida213,2011,NA,Jean-Michel,-11.4060333333333,43.3113
A_digitata,Maoulida214,2011,NA,Jean-Michel,-11.4056833333333,43.3164833333333
A_digitata,Maoulida215,2011,NA,Jean-Michel,-11.40433,43.3251
A_digitata,Maoulida216,2011,NA,Jean-Michel,-11.3874333333333,43.3427833333333
A_digitata,Maoulida217,2011,NA,Jean-Michel,-11.3871333333333,43.3423
A_digitata,Maoulida218,2011,NA,Jean-Michel,-11.3857,43.3418666666667
A_digitata,Maoulida219,2011,NA,Jean-Michel,-11.3833,43.3416
A_digitata,Maoulida22,2011,NA,Jean-Michel,-11.3793333333333,43.3150666666667
A_digitata,Maoulida220,2011,NA,Jean-Michel,-11.3826166666667,43.34095
A_digitata,Maoulida221,2011,NA,Jean-Michel,-11.3804166666667,43.3398833333333
A_digitata,Maoulida222,2011,NA,Jean-Michel,-11.37943,43.33985
A_digitata,Maoulida223,2011,NA,Jean-Michel,-11.3791666666667,43.3399333333333
A_digitata,Maoulida224,2011,NA,Jean-Michel,-11.3783333333333,43.3389166666667
A_digitata,Maoulida225,2011,NA,Jean-Michel,-11.3783666666667,43.3387666666667
A_digitata,Maoulida226,2011,NA,Jean-Michel,-11.37825,43.3386833333333
A_digitata,Maoulida227,2011,NA,Jean-Michel,-11.3781666666667,43.3384833333333
A_digitata,Maoulida228,2011,NA,Jean-Michel,-11.56715,43.2862
A_digitata,Maoulida229,2011,NA,Jean-Michel,-11.5651833333333,43.2874833333333
A_digitata,Maoulida23,2011,NA,Jean-Michel,-11.3791666666667,43.31525
A_digitata,Maoulida230,2011,NA,Jean-Michel,-11.4686,43.3885166666667
A_digitata,Maoulida231,2011,NA,Jean-Michel,-11.83625,43.3267
A_digitata,Maoulida232,2011,NA,Jean-Michel,-11.8357833333333,43.3256333333333
A_digitata,Maoulida233,2011,NA,Jean-Michel,-11.8359833333333,43.32625
A_digitata,Maoulida234,2011,NA,Jean-Michel,-11.83475,43.3276333333333
A_digitata,Maoulida235,2011,NA,Jean-Michel,-11.8285166666667,43.32965
A_digitata,Maoulida236,2011,NA,Jean-Michel,-11.8271166666667,43.33065
A_digitata,Maoulida237,2011,NA,Jean-Michel,-11.38043,43.3404
A_digitata,Maoulida238,2011,NA,Jean-Michel,-11.3806166666667,43.3400666666667
A_digitata,Maoulida239,2011,NA,Jean-Michel,-11.3834666666667,43.3366333333333
A_digitata,Maoulida24,2011,NA,Jean-Michel,-11.3842333333333,43.3152833333333
A_digitata,Maoulida240,2011,NA,Jean-Michel,-11.38165,43.3358666666667
A_digitata,Maoulida241,2011,NA,Jean-Michel,-11.3810166666667,43.3361
A_digitata,Maoulida242,2011,NA,Jean-Michel,-11.3805833333333,43.3367833333333
A_digitata,Maoulida243,2011,NA,Jean-Michel,-11.3805,43.33695
A_digitata,Maoulida244,2011,NA,Jean-Michel,-11.3792,43.33815
A_digitata,Maoulida245,2011,NA,Jean-Michel,-11.3791166666667,43.3386166666667
A_digitata,Maoulida246,2011,NA,Jean-Michel,-11.42333,43.28695
A_digitata,Maoulida247,2011,NA,Jean-Michel,-11.4241833333333,43.2828
A_digitata,Maoulida248,2011,NA,Jean-Michel,-11.42433,43.2823166666667
A_digitata,Maoulida249,2011,NA,Jean-Michel,-11.4247,43.2814
A_digitata,Maoulida25,2011,NA,Jean-Michel,-11.3845333333333,43.3143333333333
A_digitata,Maoulida250,2011,NA,Jean-Michel,-11.428,43.2782
A_digitata,Maoulida251,2011,NA,Jean-Michel,-11.4277666666667,43.2779333333333
A_digitata,Maoulida252,2011,NA,Jean-Michel,-11.4279833333333,43.27765
A_digitata,Maoulida253,2011,NA,Jean-Michel,-11.428,43.2776166666667
A_digitata,Maoulida254,2011,NA,Jean-Michel,-11.42815,43.27725
A_digitata,Maoulida255,2011,NA,Jean-Michel,-11.4280333333333,43.2767666666667
A_digitata,Maoulida256,2011,NA,Jean-Michel,-11.4281666666667,43.2764166666667
A_digitata,Maoulida257,2011,NA,Jean-Michel,-11.4283833333333,43.2762833333333
A_digitata,Maoulida258,2011,NA,Jean-Michel,-11.4282666666667,43.27585
A_digitata,Maoulida259,2011,NA,Jean-Michel,-11.42805,43.2757
A_digitata,Maoulida26,2011,NA,Jean-Michel,-12.1939333333333,44.5175666666667
A_digitata,Maoulida260,2011,NA,Jean-Michel,-11.4283,43.2768
A_digitata,Maoulida261,2011,NA,Jean-Michel,-11.42905,43.2769833333333
A_digitata,Maoulida262,2011,NA,Jean-Michel,-11.42925,43.2773833333333
A_digitata,Maoulida263,2011,NA,Jean-Michel,-11.42905,43.2776833333333
A_digitata,Maoulida264,2011,NA,Jean-Michel,-11.4290833333333,43.2778833333333
A_digitata,Maoulida265,2011,NA,Jean-Michel,-11.4290333333333,43.27795
A_digitata,Maoulida266,2011,NA,Jean-Michel,-11.4289333333333,43.2780333333333
A_digitata,Maoulida267,2011,NA,Jean-Michel,-11.4289666666667,43.2781333333333
A_digitata,Maoulida268,2011,NA,Jean-Michel,-11.3817,43.3208833333333
A_digitata,Maoulida269,2011,NA,Jean-Michel,-11.3829833333333,43.3205333333333
A_digitata,Maoulida27,2011,NA,Jean-Michel,-12.18015,44.5107333333333
A_digitata,Maoulida270,2011,NA,Jean-Michel,-11.3833,43.3225
A_digitata,Maoulida271,2011,NA,Jean-Michel,-11.3839333333333,43.3249666666667
A_digitata,Maoulida272,2011,NA,Jean-Michel,-11.385,43.32575
A_digitata,Maoulida273,2011,NA,Jean-Michel,-11.3849833333333,43.32575
A_digitata,Maoulida274,2011,NA,Jean-Michel,-11.3848333333333,43.3261833333333
A_digitata,Maoulida275,2011,NA,Jean-Michel,-11.3838,43.3261
A_digitata,Maoulida276,2011,NA,Jean-Michel,-11.3825833333333,43.3264
A_digitata,Maoulida277,2011,NA,Jean-Michel,-11.38255,43.3266333333333
A_digitata,Maoulida278,2011,NA,Jean-Michel,-11.3820333333333,43.3263333333333
A_digitata,Maoulida279,2011,NA,Jean-Michel,-11.3815333333333,43.3262166666667
A_digitata,Maoulida28,2011,NA,Jean-Michel,-12.1796166666667,44.5117833333333
A_digitata,Maoulida280,2011,NA,Jean-Michel,-12.2806166666667,44.5237333333333
A_digitata,Maoulida281,2011,NA,Jean-Michel,-12.2802333333333,44.5244833333333
A_digitata,Maoulida282,2011,NA,Jean-Michel,-12.27975,44.5226666666667
A_digitata,Maoulida283,2011,NA,Jean-Michel,-12.2893,43.7426833333333
A_digitata,Maoulida284,2011,NA,Jean-Michel,-12.2893,43.7426833333333
A_digitata,Maoulida285,2011,NA,Jean-Michel,-12.2893,43.7426833333333
A_digitata,Maoulida286,2011,NA,Jean-Michel,-12.2893,43.7426833333333
A_digitata,Maoulida287,2011,NA,Jean-Michel,-12.2893,43.7427
A_digitata,Maoulida288,2011,NA,Jean-Michel,-12.2893,43.7426833333333
A_digitata,Maoulida289,2011,NA,Jean-Michel,-12.2825,43.7434
A_digitata,Maoulida29,2011,NA,Jean-Michel,-12.17645,44.5065333333333
A_digitata,Maoulida290,2011,NA,Jean-Michel,-12.2825,43.7434
A_digitata,Maoulida291,2011,NA,Jean-Michel,-12.2825166666667,43.7434
A_digitata,Maoulida292,2011,NA,Jean-Michel,-12.2825166666667,43.7434
A_digitata,Maoulida293,2011,NA,Jean-Michel,-12.2825166666667,43.7434
A_digitata,Maoulida294,2011,NA,Jean-Michel,-12.2759666666667,43.7339666666667
A_digitata,Maoulida295,2011,NA,Jean-Michel,-12.2770166666667,43.731
A_digitata,Maoulida296,2011,NA,Jean-Michel,-12.2771333333333,43.7309166666667
A_digitata,Maoulida297,2011,NA,Jean-Michel,-12.2771166666667,43.7309166666667
A_digitata,Maoulida298,2011,NA,Jean-Michel,-12.2771333333333,43.7309333333333
A_digitata,Maoulida299,2011,NA,Jean-Michel,-12.2771,43.7309833333333
A_digitata,Maoulida3,2011,NA,Jean-Michel,-11.38305,43.3190333333333
A_digitata,Maoulida30,2011,NA,Jean-Michel,-12.1765666666667,44.5065333333333
A_digitata,Maoulida300,2011,NA,Jean-Michel,-12.3856666666667,43.8603666666667
A_digitata,Maoulida301,2011,NA,Jean-Michel,-12.3694,43.7181
A_digitata,Maoulida302,2011,NA,Jean-Michel,-12.36985,43.7188333333333
A_digitata,Maoulida303,2011,NA,Jean-Michel,-12.36985,43.7189166666667
A_digitata,Maoulida304,2011,NA,Jean-Michel,-12.3699166666667,43.71895
A_digitata,Maoulida305,2011,NA,Jean-Michel,-12.3699333333333,43.719
A_digitata,Maoulida306,2011,NA,Jean-Michel,-12.3695166666667,43.7239333333333
A_digitata,Maoulida307,2011,NA,Jean-Michel,-12.2906666666667,43.7408
A_digitata,Maoulida308,2011,NA,Jean-Michel,-12.2906666666667,43.7408166666667
A_digitata,Maoulida309,2011,NA,Jean-Michel,-12.2907,43.7407833333333
A_digitata,Maoulida31,2011,NA,Jean-Michel,-12.1766333333333,44.5063833333333
A_digitata,Maoulida310,2011,NA,Jean-Michel,-12.2907833333333,43.7408333333333
A_digitata,Maoulida311,2011,NA,Jean-Michel,-12.2907333333333,43.7408333333333
A_digitata,Maoulida312,2011,NA,Jean-Michel,-12.2914666666667,43.7399833333333
A_digitata,Maoulida313,2011,NA,Jean-Michel,-12.2920666666667,43.74115
A_digitata,Maoulida314,2011,NA,Jean-Michel,-12.2925333333333,43.74195
A_digitata,Maoulida315,2011,NA,Jean-Michel,-12.2925333333333,43.7425666666667
A_digitata,Maoulida316,2011,NA,Jean-Michel,-12.2933333333333,43.74415
A_digitata,Maoulida317,2011,NA,Jean-Michel,-12.2930333333333,43.7463333333333
A_digitata,Maoulida318,2011,NA,Jean-Michel,-12.2933666666667,43.7463666666667
A_digitata,Maoulida319,2011,NA,Jean-Michel,-12.29345,43.7492333333333
A_digitata,Maoulida32,2011,NA,Jean-Michel,-12.15855,44.4988666666667
A_digitata,Maoulida320,2011,NA,Jean-Michel,-12.2944333333333,43.7487666666667
A_digitata,Maoulida321,2011,NA,Jean-Michel,-12.29395,43.7479833333333
A_digitata,Maoulida322,2011,NA,Jean-Michel,-12.2938333333333,43.7476666666667
A_digitata,Maoulida323,2011,NA,Jean-Michel,-12.2914333333333,43.7484666666667
A_digitata,Maoulida324,2011,NA,Jean-Michel,-12.2883333333333,43.7509166666667
A_digitata,Maoulida325,2011,NA,Jean-Michel,-12.2874166666667,43.7503833333333
A_digitata,Maoulida326,2011,NA,Jean-Michel,-12.2867333333333,43.74985
A_digitata,Maoulida327,2011,NA,Jean-Michel,-12.2850333333333,43.7469166666667
A_digitata,Maoulida328,2011,NA,Jean-Michel,-12.2848,43.7466833333333
A_digitata,Maoulida329,2011,NA,Jean-Michel,-12.2844666666667,43.7459166666667
A_digitata,Maoulida33,2011,NA,Jean-Michel,-12.1219,44.4880333333333
A_digitata,Maoulida330,2011,NA,Jean-Michel,-12.2839166666667,43.7447166666667
A_digitata,Maoulida331,2011,NA,Jean-Michel,-12.2848833333333,43.7454
A_digitata,Maoulida332,2011,NA,Jean-Michel,-12.2855666666667,43.7455833333333
A_digitata,Maoulida333,2011,NA,Jean-Michel,-12.3153333333333,43.7846666666667
A_digitata,Maoulida334,2011,NA,Jean-Michel,-12.36775,43.7824333333333
A_digitata,Maoulida335,2011,NA,Jean-Michel,-12.3678333333333,43.7814333333333
A_digitata,Maoulida336,2011,NA,Jean-Michel,-12.36775,43.7760333333333
A_digitata,Maoulida337,2011,NA,Jean-Michel,-12.3662333333333,43.7701666666667
A_digitata,Maoulida338,2011,NA,Jean-Michel,-12.34635,43.67005
A_digitata,Maoulida339,2011,NA,Jean-Michel,-12.3260833333333,43.6639
A_digitata,Maoulida34,2011,NA,Jean-Michel,-12.1218666666667,44.4880833333333
A_digitata,Maoulida340,2011,NA,Jean-Michel,-12.32605,43.6638833333333
A_digitata,Maoulida341,2011,NA,Jean-Michel,-12.34735,43.6697
A_digitata,Maoulida342,2011,NA,Jean-Michel,-12.3459,43.6858
A_digitata,Maoulida343,2011,NA,Jean-Michel,-12.3451833333333,43.6865333333333
A_digitata,Maoulida344,2011,NA,Jean-Michel,-12.3064666666667,43.7789333333333
A_digitata,Maoulida345,2011,NA,Jean-Michel,-12.3054833333333,43.7772166666667
A_digitata,Maoulida346,2011,NA,Jean-Michel,-12.3061666666667,43.7761666666667
A_digitata,Maoulida347,2011,NA,Jean-Michel,-12.3060833333333,43.7756666666667
A_digitata,Maoulida348,2011,NA,Jean-Michel,-12.30135,43.7683
A_digitata,Maoulida349,2011,NA,Jean-Michel,-12.3000333333333,43.765
